tconst,primaryTitle,titleType,genres,averageRating,numVotes,country,rt_rating,mc_rating
tt0329774,xXx: State of the Union,movie,"Action,Adventure,Crime",4.5,69324.0,USA,17,37
tt1261945,Sex and the City 2,movie,"Comedy,Drama,Romance",4.5,76891.0,USA,15,27
tt0119303,Home Alone 3,movie,"Action,Comedy,Crime",4.5,111267.0,USA,29,
tt1815708,Freelancers,movie,"Action,Crime,Drama",4.6,10101.0,USA,,
tt0486578,First Sunday,movie,"Comedy,Crime,Drama",4.6,10435.0,USA,,41
tt3322892,XX,movie,Horror,4.6,11566.0,"Canada, USA, Mexico",69,64
tt0462229,Code Name: The Cleaner,movie,"Action,Comedy,Crime",4.6,11611.0,USA,4,33
tt0100934,Wild Orchid,movie,"Drama,Romance",4.6,11870.0,USA,10,19
tt0844671,College,movie,Comedy,4.6,12302.0,USA,5,15
tt1552224,Outcast,movie,"Action,Adventure,Thriller",4.6,13191.0,"Canada, China, USA, France",4,33
tt0461703,Skinwalkers,movie,"Action,Fantasy,Horror",4.6,13284.0,"Canada, USA, Germany",13,33
tt5059406,I Am the Pretty Thing That Lives in the House,movie,"Drama,Horror,Mystery",4.6,14122.0,Canada,60,68
tt0358349,Agent Cody Banks 2: Destination London,movie,"Action,Adventure,Comedy",4.6,14689.0,"USA, UK",14,32
tt1886493,Catch .44,movie,"Action,Thriller",4.6,17104.0,USA,,
tt1085492,The Prince,movie,"Action,Thriller",4.6,18186.0,"USA, UK",0,19
tt1472584,Max Steel,movie,"Action,Adventure,Fantasy",4.6,19045.0,"UK, USA",0,22
tt0205271,Dr. T & the Women,movie,"Comedy,Drama,Romance",4.6,19414.0,"USA, Germany",57,64
tt0144964,Highlander: Endgame,movie,"Action,Adventure,Fantasy",4.6,20059.0,"UK, USA, Luxembourg",11,21
tt1302067,Yogi Bear,movie,"Adventure,Animation,Comedy",4.6,21339.0,"USA, New Zealand",13,35
tt0374563,Captivity,movie,"Crime,Horror,Mystery",4.6,22938.0,"USA, Russia",9,24
tt0114825,Vampire in Brooklyn,movie,"Comedy,Fantasy,Horror",4.6,22951.0,USA,12,27
tt0110725,On Deadly Ground,movie,"Action,Adventure,Thriller",4.6,23312.0,USA,12,33
tt2799166,The Pyramid,movie,"Horror,Mystery,Thriller",4.6,24059.0,"USA, Morocco",14,24
tt0454082,Black Christmas,movie,Horror,4.6,26320.0,"USA, Canada",,22
tt2473510,Paranormal Activity: The Ghost Dimension,movie,"Horror,Mystery",4.6,26793.0,USA,14,30
